date,us_ending_stocks,us_total_use,world_ending_stocks,world_total_use
2016-01-12,25.61,32.2,232.04,716.14
2016-02-09,26.29,32.2,238.87,711.41
2016-03-09,26.29,32.2,237.59,709.37
2016-04-12,26.56,31.93,239.26,708.69
2016-05-10,27.99,32.71,257.34,712.56
2016-06-10,28.58,33.53,257.84,716.0
2016-07-12,30.08,36.25,253.7,729.34
2016-08-12,29.93,37.2,252.82,732.5
2016-09-12,29.93,37.2,249.07,736.68
2016-10-12,30.98,35.3,248.37,735.73
2016-11-09,31.12,35.16,249.23,736.52
2016-12-09,31.12,35.16,252.14,739.77
2017-01-12,32.29,33.99,253.29,739.89
2017-02-09,31.01,33.91,248.61,740.4
2017-03-09,30.73,33.91,249.94,741.42
2017-04-11,31.55,32.96,252.26,740.84
2017-05-10,24.86,32.41,258.29,734.89
2017-06-09,25.16,32.41,261.19,734.77
2017-07-12,25.53,31.87,260.6,735.28
2017-08-10,25.38,31.73,264.69,737.05
2017-09-12,25.38,31.73,263.14,737.54
2017-10-12,26.13,30.92,268.13,739.63
2017-11-09,25.45,30.92,267.53,740.05
2017-12-12,26.13,30.92,268.42,742.12
2018-01-12,26.92,30.26,268.02,741.7
2018-02-08,27.47,30.4,266.1,744.79
2018-03-08,28.15,30.4,268.89,742.5
2018-04-10,28.96,29.58,271.22,743.13
2018-05-10,25.98,31.22,264.33,753.89
2018-06-12,25.74,31.22,266.16,750.9
2018-07-12,26.8,31.49,260.88,748.87
2018-08-10,25.45,31.35,258.96,743.74
2018-09-12,25.45,31.35,261.29,746.06
2018-10-11,26.03,31.08,260.18,745.6
2018-11-08,25.84,31.27,266.71,745.8
2018-12-11,26.52,31.27,268.1,745.25
2019-02-08,27.5,30.29,267.53,747.23
2019-03-08,28.72,30.16,270.53,742.09
2019-04-09,29.58,29.84,275.61,739.15
2019-05-10,31.05,30.56,293.01,759.46
2019-06-11,29.16,31.92,294.34,763.06
2019-07-11,27.22,32.2,286.46,760.15
2019-08-12,27.6,32.6,285.4,758.16
2019-09-12,27.6,32.6,286.51,756.26
2019-10-10,28.4,31.79,287.8,755.11
2019-11-08,27.59,31.46,288.28,755.17
2019-12-10,26.51,31.46,289.5,753.76
2020-01-10,26.26,31.71,288.08,754.37
2020-02-11,25.58,31.71,288.03,754.19
2020-03-10,25.58,31.71,287.14,754.93
2020-04-09,26.4,31.3,292.78,749.78
2020-05-12,24.74,30.62,310.12,753.49
2020-06-11,25.17,30.62,316.09,753.19
2020-07-10,25.65,30.35,314.84,751.59
2020-08-12,25.19,30.24,316.79,750.14
2020-09-11,25.19,30.24,319.37,750.9
2020-10-09,24.03,30.51,321.45,751.03
2020-11-10,23.86,30.67,320.45,752.68
2020-12-10,23.45,30.67,316.5,757.78
2021-01-12,22.76,31.38,313.19,759.54
2021-02-09,22.76,31.38,304.22,769.32
2021-03-09,22.76,31.38,301.19,775.89
2021-04-09,23.18,30.69,295.52,781.01
2021-05-12,21.05,32.52,294.96,788.68
2021-06-10,20.95,32.8,296.8,791.12
2021-07-12,18.09,32.52,291.68,790.89
2021-08-12,17.05,32.22,279.06,786.67
2021-09-10,16.73,32.28,283.22,789.63
2021-10-12,15.79,31.6,277.18,787.05
2021-11-09,15.87,31.65,275.8,787.42
2021-12-09,16.28,31.65,278.18,789.35
2022-01-12,17.09,30.97,279.95,787.47
2022-02-09,17.63,30.84,278.21,788.08
2022-03-09,17.77,30.84,281.51,787.28
2022-04-08,18.45,30.56,278.42,791.08
2022-05-12,16.84,30.21,267.02,787.52
2022-06-10,17.05,30.21,266.85,785.99
2022-07-12,17.39,30.26,267.52,784.22
2022-08-12,16.6,30.43,267.34,788.6
2022-09-12,16.6,30.43,268.57,791.02
2022-10-12,15.68,29.61,267.54,790.17
2022-11-09,15.54,29.75,267.82,791.17
2022-12-09,15.54,29.75,267.33,789.53
2023-01-12,15.44,30.65,268.39,789.74
2023-02-08,15.47,30.62,269.34,791.16
2023-03-08,15.47,30.62,267.2,793.19
2023-04-11,16.28,29.94,265.05,796.06
2023-05-12,15.12,30.26,264.34,791.7
2023-06-09,15.28,30.26,270.71,796.14
2023-07-12,16.12,30.81,266.53,799.45
2023-08-11,16.75,30.73,265.61,796.07
2023-09-12,16.75,30.73,258.61,795.86
2023-10-12,18.22,31.54,258.13,792.86
2023-11-09,18.6,31.43,258.69,792.84
2023-12-08,17.92,31.43,258.2,794.66
2024-01-12,17.62,31.41,260.03,796.44
2024-02-08,17.9,31.14,259.44,797.52
2024-03-08,18.3,31.14,258.83,798.98
2024-04-11,18.98,30.32,258.27,800.1
2024-05-10,20.85,30.59,253.61,802.37
2024-06-12,20.64,30.59,252.27,798.04
2024-07-12,23.31,30.86,257.24,799.94
2024-08-12,22.53,30.92,256.62,804.02
2024-09-12,22.53,30.92,257.22,804.9
2024-10-11,22.09,31.19,257.72,802.54
2024-11-08,22.17,31.24,257.57,803.41
2024-12-10,21.63,31.24,257.88,802.47
2025-01-10,21.71,31.3,258.82,801.89
2025-02-11,21.62,31.39,257.56,803.72
2025-03-11,22.3,31.39,260.08,806.65
2025-04-10,23.03,31.34,260.7,805.2
2025-05-12,25.12,31.54,265.73,808.0
2025-06-12,24.45,31.54,262.76,809.8
2025-07-11,24.23,31.54,261.52,810.62
2025-08-12,23.64,31.41,260.08,809.53
2025-09-12,22.96,31.41,264.06,814.56
2025-11-14,24.52,31.41,271.43,818.9
2025-12-09,24.52,31.41,274.87,822.97
2026-01-12,25.21,30.84,278.25,823.91